ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,impressions,clicks,spent,total_conversion,approved_conversion,ctr,conversion_rate,cpa,roas
708746,916,103916,30-34,M,15,7350,1,1.429999948,2,1,0.00013605442176870748,1.0,1.429999948,1.398601449459633
708749,916,103917,30-34,M,16,17861,2,1.820000023,2,0,0.00011197581322434354,0.0,,1.0989010850138874
708771,916,103920,30-34,M,20,693,0,0.0,1,0,0.0,,,
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.00023479690068091102,0.0,,0.8
708818,916,103928,30-34,M,28,4133,1,1.289999962,1,1,0.00024195499637067505,1.0,1.289999962,0.7751938212847792
708820,916,103929,30-34,M,29,1915,0,0.0,1,1,0.0,,0.0,
708889,916,103940,30-34,M,15,15615,3,4.769999981,1,0,0.00019212295869356388,0.0,,0.20964360670507937
708895,916,103941,30-34,M,16,10951,1,1.269999981,1,1,9.131586156515387e-05,1.0,1.269999981,0.7874015865831734
708953,916,103951,30-34,M,27,2355,1,1.5,1,0,0.0004246284501061571,0.0,,0.6666666666666666
708958,916,103952,30-34,M,28,9502,3,3.159999967,1,0,0.0003157230056830141,0.0,,0.3164556995072905
708979,916,103955,30-34,M,31,1224,0,0.0,1,0,0.0,,,
709023,916,103962,30-34,M,7,735,0,0.0,1,0,0.0,,,
709038,916,103965,30-34,M,16,5117,0,0.0,1,0,0.0,,,
709040,916,103965,30-34,M,16,5120,0,0.0,1,0,0.0,,,
709059,916,103968,30-34,M,20,14669,7,10.28000021,1,1,0.000477196809598473,0.14285714285714285,10.28000021,0.09727626260427867
709105,916,103976,30-34,M,28,1241,0,0.0,1,1,0.0,,0.0,
709115,916,103978,30-34,M,30,2305,1,0.569999993,1,0,0.0004338394793926247,0.0,,1.7543859864573716
709124,916,103979,30-34,M,31,1024,0,0.0,1,1,0.0,,0.0,
709179,916,103988,35-39,M,15,4627,1,1.690000057,1,0,0.0002161227577263886,0.0,,0.5917159563740773
709183,916,103989,35-39,M,16,21026,4,4.630000114,2,1,0.00019024065442785123,0.25,4.630000114,0.43196543212871286
709320,916,104012,35-39,M,15,1422,0,0.0,1,1,0.0,,0.0,
709323,916,104012,35-39,M,15,7132,2,2.609999895,1,0,0.00028042624789680314,0.0,,0.38314177786585696
709326,916,104013,35-39,M,16,12190,2,3.049999952,1,0,0.00016406890894175554,0.0,,0.32786885761891976
709327,916,104013,35-39,M,16,12193,2,3.059999943,1,1,0.0001640285409661281,0.5,3.059999943,0.32679739170831745
709328,916,104013,35-39,M,16,3332,0,0.0,1,1,0.0,,0.0,
709455,916,104034,35-39,M,7,559,0,0.0,1,0,0.0,,,
709544,916,104049,35-39,M,29,7440,2,2.980000019,1,1,0.00026881720430107527,0.5,2.980000019,0.33557046765911447
709614,916,104061,40-44,M,16,19113,4,5.5200001,1,0,0.00020928164076806363,0.0,,0.18115941700798158
709756,916,104085,40-44,M,16,10976,2,1.690000057,1,1,0.00018221574344023323,0.5,1.690000057,0.5917159563740773
709761,916,104085,40-44,M,16,2861,0,0.0,1,0,0.0,,,
709899,916,104108,40-44,M,15,1398,0,0.0,1,1,0.0,,0.0,
709901,916,104109,40-44,M,16,23817,7,8.470000148,1,1,0.0002939077129781249,0.14285714285714285,8.470000148,0.1180637523644114
710045,916,104133,45-49,M,16,47224,12,15.82000017,1,0,0.00025410808063696424,0.0,,0.06321112447876794
710088,916,104140,45-49,M,24,2283,1,1.470000029,1,0,0.0004380201489268506,0.0,,0.6802720954232035
710360,916,104185,45-49,M,21,2182,1,1.529999971,1,1,0.00045829514207149406,1.0,1.529999971,0.6535947836302279
710477,916,104205,30-34,F,16,2654,0,0.0,1,1,0.0,,0.0,
710480,916,104205,30-34,F,16,57665,14,18.06999969,1,1,0.00024278158328275385,0.07142857142857142,18.06999969,0.05534034405951891
710571,916,104220,30-34,F,32,3091,1,1.610000014,1,1,0.00032351989647363315,1.0,1.610000014,0.6211180070213341
710617,916,104228,30-34,F,15,5014,1,1.190000057,1,0,0.00019944156362185878,0.0,,0.8403360942023888
710623,916,104229,30-34,F,16,38726,7,9.220000267,1,0,0.00018075711408356142,0.0,,0.1084598667072902
710628,916,104230,30-34,F,18,1473,0,0.0,1,0,0.0,,,
710682,916,104239,30-34,F,27,1186,0,0.0,1,0,0.0,,,
710763,916,104252,30-34,F,15,5369,1,1.50999999,1,0,0.00018625442354255913,0.0,,0.6622516600149116
710836,916,104265,30-34,F,29,22221,7,9.430000067,1,1,0.0003150173259529274,0.14285714285714285,9.430000067,0.10604453795281188
710867,916,104270,30-34,F,63,1185,0,0.0,1,0,0.0,,,
710880,916,104272,30-34,F,65,13019,5,6.960000038,1,0,0.00038405407481373376,0.0,,0.1436781601350905
710961,916,104285,35-39,F,25,2508,1,1.220000029,1,0,0.00039872408293460925,0.0,,0.8196721116635318
710968,916,104287,35-39,F,27,5864,2,2.799999952,1,1,0.00034106412005457026,0.5,2.799999952,0.35714286326530625
711217,916,104328,35-39,F,20,2783,1,1.600000024,1,0,0.00035932446999640676,0.0,,0.6249999906250001
711623,916,104396,40-44,F,15,3812,1,1.129999995,2,1,0.00026232948583420777,1.0,1.129999995,1.7699115122562457
711764,916,104419,45-49,F,10,11199,4,5.730000019,1,1,0.0003571747477453344,0.25,5.730000019,0.17452006922934007
711785,916,104423,45-49,F,19,292,0,0.0,1,0,0.0,,,
711877,916,104438,45-49,F,63,17572,7,9.379999995,1,0,0.00039836102890962894,0.0,,0.10660980815917366
712052,916,104467,45-49,F,10,1448,0,0.0,1,1,0.0,,0.0,
734209,936,108654,30-34,M,10,1772,0,0.0,1,1,0.0,,0.0,
734210,936,108654,30-34,M,10,13329,4,5.629999995,1,1,0.00030009753169780176,0.25,5.629999995,0.17761989358580807
734215,936,108655,30-34,M,15,13659,3,3.840000033,1,0,0.00021963540522732265,0.0,,0.260416664428711
734243,936,108660,30-34,M,21,739,0,0.0,1,1,0.0,,0.0,
734266,936,108664,30-34,M,25,605,0,0.0,1,0,0.0,,,
734272,936,108665,30-34,M,26,1030,0,0.0,1,0,0.0,,,
734290,936,108668,30-34,M,29,5374,1,1.039999962,4,0,0.00018608113137327876,0.0,,3.846153986686396
734313,936,108672,30-34,M,36,790,0,0.0,1,1,0.0,,0.0,
734314,936,108672,30-34,M,36,962,0,0.0,1,0,0.0,,,
734352,936,108678,35-39,M,10,4423,1,1.460000038,1,1,0.00022609088853719196,1.0,1.460000038,0.6849314890223311
734361,936,108680,35-39,M,16,12382,2,2.839999914,1,1,0.00016152479405588758,0.5,2.839999914,0.35211268671890533
734381,936,108683,35-39,M,20,2938,1,1.350000024,1,1,0.0003403675970047651,1.0,1.350000024,0.7407407275720167
734399,936,108686,35-39,M,23,239,0,0.0,1,0,0.0,,,
734418,936,108689,35-39,M,26,591,0,0.0,1,0,0.0,,,
734421,936,108690,35-39,M,27,10332,4,5.75,1,0,0.00038714672861014324,0.0,,0.17391304347826086
734427,936,108691,35-39,M,28,8259,3,3.980000019,1,0,0.0003632401017072285,0.0,,0.2512562802075705
734433,936,108692,35-39,M,29,12158,3,4.449999928,1,0,0.0002467511103799967,0.0,,0.2247191047595001
734582,936,108716,40-44,M,29,7709,2,1.320000052,2,0,0.0002594370216629913,0.0,,1.5151514554637306
734605,936,108720,40-44,M,36,834,0,0.0,1,0,0.0,,,
734660,936,108729,45-49,M,18,1299,0,0.0,2,0,0.0,,,
734666,936,108730,45-49,M,19,371,0,0.0,1,0,0.0,,,
734726,936,108740,45-49,M,29,10466,3,4.090000033,1,0,0.0002866424613032677,0.0,,0.24449877553338398
734737,936,108742,45-49,M,31,839,0,0.0,1,0,0.0,,,
734785,936,108750,30-34,F,10,5576,1,1.529999971,1,1,0.0001793400286944046,1.0,1.529999971,0.6535947836302279
734794,936,108752,30-34,F,16,4010,0,0.0,1,0,0.0,,,
734796,936,108752,30-34,F,16,39337,7,10.03000009,1,1,0.00017794951318097466,0.14285714285714285,10.03000009,0.09970089641345158
734800,936,108753,30-34,F,18,1635,0,0.0,1,0,0.0,,,
734803,936,108753,30-34,F,18,1631,0,0.0,1,0,0.0,,,
734852,936,108761,30-34,F,26,13479,3,4.25,1,0,0.00022256843979523704,0.0,,0.23529411764705882
734854,936,108762,30-34,F,27,57022,13,20.29000032,3,3,0.0002279821823155975,0.23076923076923078,6.76333344,0.14785608441035253
734856,936,108762,30-34,F,27,5453,1,1.389999986,1,1,0.00018338529249954154,1.0,1.389999986,0.7194244676776564
734866,936,108764,30-34,F,29,11803,3,4.440000057,1,0,0.0002541726679657714,0.0,,0.22522522233382036
734881,936,108766,30-34,F,31,4259,1,1.570000052,1,1,0.00023479690068091102,1.0,1.570000052,0.6369426540630458
734901,936,108770,30-34,F,64,1554,0,0.0,1,0,0.0,,,
734903,936,108770,30-34,F,64,5323,1,1.289999962,1,1,0.00018786398647379298,1.0,1.289999962,0.7751938212847792
734925,936,108774,35-39,F,10,5024,1,1.409999967,1,1,0.00019904458598726116,1.0,1.409999967,0.7092198747547913
734939,936,108776,35-39,F,16,104648,24,33.33000004,4,2,0.00022934026450577172,0.08333333333333333,16.66500002,0.12001200105609121
734968,936,108781,35-39,F,22,8504,3,3.340000093,1,1,0.0003527751646284102,0.3333333333333333,3.340000093,0.2994011892681705
734999,936,108786,35-39,F,27,20277,6,8.050000072,1,0,0.00029590176061547566,0.0,,0.12422360137340382
735014,936,108788,35-39,F,29,12403,4,5.210000038,1,1,0.0003225026203337902,0.25,5.210000038,0.19193857825457467
735032,936,108791,35-39,F,32,498,0,0.0,1,1,0.0,,0.0,
735033,936,108792,35-39,F,36,652,0,0.0,0,0,0.0,,,
735043,936,108793,35-39,F,63,1357,0,0.0,1,1,0.0,,0.0,
735048,936,108794,35-39,F,64,1393,0,0.0,1,0,0.0,,,
735065,936,108797,40-44,F,7,648,0,0.0,1,0,0.0,,,
735109,936,108804,40-44,F,21,708,0,0.0,1,1,0.0,,0.0,
735140,936,108809,40-44,F,26,6907,2,2.349999964,1,0,0.0002895613146083683,0.0,,0.42553192141240387
735143,936,108810,40-44,F,27,39035,13,19.32999957,1,0,0.0003330344562572051,0.0,,0.05173305857450674
735151,936,108811,40-44,F,28,926,0,0.0,1,0,0.0,,,
735184,936,108817,40-44,F,63,4412,1,1.450000048,1,0,0.00022665457842248413,0.0,,0.6896551495838296
735189,936,108818,40-44,F,64,9965,3,4.050000072,1,0,0.00030105368790767686,0.0,,0.24691357585733892
735213,936,108822,45-49,F,10,73634,23,32.97999978,1,0,0.0003123557052448597,0.0,,0.030321407115546074
735220,936,108823,45-49,F,15,69708,20,31.28999949,1,0,0.0002869111149365926,0.0,,0.03195909288268256
735242,936,108826,45-49,F,19,530,0,0.0,1,0,0.0,,,
735247,936,108827,45-49,F,20,14257,6,8.789999962,1,0,0.00042084590025952165,0.0,,0.1137656432677013
735289,936,108834,45-49,F,27,20362,5,9.119999886,1,1,0.0002455554464198016,0.2,9.119999886,0.10964912417763159
735290,936,108834,45-49,F,27,12215,4,6.26000011,1,0,0.0003274662300450266,0.0,,0.15974440613867658
735298,936,108836,45-49,F,29,85412,28,38.63999999,2,1,0.0003278227883669742,0.03571428571428571,38.63999999,0.051759834381925426
736869,936,109448,30-34,M,2,2338,1,0.239999995,1,0,0.000427715996578272,0.0,,4.166666753472224
736890,936,109451,30-34,M,15,2522,0,0.0,1,0,0.0,,,
736893,936,109452,30-34,M,16,3587,0,0.0,1,0,0.0,,,
736977,936,109470,30-34,M,27,1273,0,0.0,1,0,0.0,,,
736988,936,109472,30-34,M,28,3891,1,1.090000033,1,0,0.00025700334104343357,0.0,,0.9174311648851116
736995,936,109473,30-34,M,29,1888,0,0.0,1,0,0.0,,,
736997,936,109473,30-34,M,29,1895,0,0.0,1,0,0.0,,,
737097,936,109498,35-39,M,7,715,0,0.0,1,0,0.0,,,
737130,936,109507,35-39,M,16,11199,2,2.680000067,1,0,0.0001785873738726672,0.0,,0.373134319029851
737320,936,109553,35-39,M,63,5676,2,3.00999999,1,0,0.00035236081747709656,0.0,,0.33222591472500307
737375,936,109565,40-44,M,10,1415,0,0.0,1,0,0.0,,,
737524,936,109601,40-44,M,30,2148,1,1.580000043,1,1,0.0004655493482309125,1.0,1.580000043,0.63291137518026
737644,936,109629,45-49,M,16,45401,10,14.06000042,1,0,0.00022025946565053632,0.0,,0.07112375320967451
737657,936,109633,45-49,M,18,7478,2,2.900000095,1,1,0.0002674511901577962,0.5,2.900000095,0.3448275749108208
737658,936,109633,45-49,M,18,4919,1,1.590000033,1,0,0.00020329335230737954,0.0,,0.6289308045567821
737674,936,109637,45-49,M,20,533,0,0.0,1,1,0.0,,0.0,
737766,936,109659,45-49,M,29,1447,0,0.0,1,1,0.0,,0.0,
737896,936,109689,30-34,F,16,17553,3,4.590000153,1,0,0.00017091095539224064,0.0,,0.2178649164851128
